,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
,"Build Assembly","07-01-2025","12390",,"Whiting 4","Whiting","X","Vim Mix Lavender","",58079.09,182022.89,"Other Current Asset"
,"Build Assembly","07-01-2025","12391",,"Whiting 4","Whiting","X","Sunlight Mix Lavender","",9727.74,172295.15,"Other Current Asset"
,"Build Assembly","07-01-2025","12392",,"Whiting 4","Whiting","X","Sunlight Mix Lemon","",19457.53,152837.62,"Other Current Asset"
,"Build Assembly","07-01-2025","12393",,"Whiting 4","Whiting","X","Vim Mix Lemon","",38719.51,114118.11,"Other Current Asset"
,"Bill","08-01-2025","0170942410000003086","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",191818.11,"Other Current Asset"
,"Bill","08-01-2025","0110375970000000756","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",279568.11,"Other Current Asset"
,"Bill","08-01-2025","0040122620000017213","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",357268.11,"Other Current Asset"
,"Build Assembly","08-01-2025","12407",,"Whiting 4","Whiting","X","Vim Mix Lemon","",149407.80,207860.31,"Other Current Asset"
,"Build Assembly","09-01-2025","12415",,"Whiting 4","Whiting","X","Vim Mix Lemon","",93379.88,114480.43,"Other Current Asset"
,"Build Assembly","09-01-2025","12416",,"Whiting 4","Whiting","X","Domestos Mix","",10473.85,104006.58,"Other Current Asset"
,"Bill","09-01-2025","0110375970000000757","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",191756.58,"Other Current Asset"
,"Build Assembly","10-01-2025","12425",,"Whiting 4","Whiting","X","Vim Mix Lemon","",105669.68,86086.90,"Other Current Asset"
,"Build Assembly","10-01-2025","12426",,"Whiting 4","Whiting","X","Domestos Mix","",10774.83,75312.07,"Other Current Asset"
,"Bill","13-01-2025","0110375970000000761","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",163062.07,"Other Current Asset"
,"Bill","13-01-2025","0040122620000017355","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",240762.07,"Other Current Asset"
,"Bill","13-01-2025","0040122620000017359","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",318462.07,"Other Current Asset"
,"Build Assembly","13-01-2025","12440",,"Whiting 4","Whiting","X","Vim Mix Lavender","",18563.62,299898.45,"Other Current Asset"
,"Build Assembly","13-01-2025","12441",,"Whiting 4","Whiting","X","Vim Mix Lemon SA","",47773.89,252124.56,"Other Current Asset"
,"Bill","14-01-2025","0110375970000000762","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",339874.56,"Other Current Asset"
,"Build Assembly","15-01-2025","12455",,"Whiting 4","Whiting","X","Vim Mix Lavender","",18888.83,320985.73,"Other Current Asset"
,"Build Assembly","15-01-2025","12456",,"Whiting 4","Whiting","X","Sunlight Mix Lavender","",37964.56,283021.17,"Other Current Asset"
,"Build Assembly","15-01-2025","12457",,"Whiting 4","Whiting","X","Sunlight Mix Lemon","",18984.28,264036.89,"Other Current Asset"
,"Build Assembly","15-01-2025","12458",,"Whiting 4","Whiting","X","Vim Mix Lemon","",9444.44,254592.45,"Other Current Asset"
,"Build Assembly","16-01-2025","12471",,"Whiting 4","Whiting","X","Vim Mix Lemon","",84999.98,169592.47,"Other Current Asset"
,"Bill","17-01-2025","0170942410000003220","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",247292.47,"Other Current Asset"
,"Build Assembly","17-01-2025","12487",,"Whiting 4","Whiting","X","Vim Mix Lemon","",18468.23,228824.24,"Other Current Asset"
,"Build Assembly","17-01-2025","12488",,"Whiting 4","Whiting","X","Vim Mix Lavender","",64638.62,164185.62,"Other Current Asset"
,"Build Assembly","18-01-2025","12495",,"Whiting 4","Whiting","X","Vim Mix Lemon","",46170.58,118015.04,"Other Current Asset"
,"Bill","20-01-2025","0170942410000003280","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",195715.04,"Other Current Asset"
,"Build Assembly","20-01-2025","12505",,"Whiting 4","Whiting","X","Vim Mix Lemon","",81533.59,114181.45,"Other Current Asset"
,"Bill","20-01-2025","0110375970000000765","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",201931.45,"Other Current Asset"
,"Build Assembly","21-01-2025","12514",,"Whiting 4","Whiting","X","Vim Mix Lemon","",103664.28,98267.17,"Other Current Asset"
,"Build Assembly","21-01-2025","12515",,"Whiting 4","Whiting","X","Domestos Mix","",7046.90,91220.27,"Other Current Asset"
,"Bill","22-01-2025","0170942410000003367","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",168920.27,"Other Current Asset"
,"Bill","22-01-2025","0110375970000000767","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",256670.27,"Other Current Asset"
,"Build Assembly","22-01-2025","12523",,"Whiting 4","Whiting","X","Vim Mix Lemon","",65749.10,190921.17,"Other Current Asset"
,"Build Assembly","22-01-2025","12524",,"Whiting 4","Whiting","X","Vim Mix Lavender","",28178.10,162743.07,"Other Current Asset"
,"Build Assembly","22-01-2025","12525",,"Whiting 4","Whiting","X","Domestos Mix","",7023.50,155719.57,"Other Current Asset"
,"Bill","23-01-2025","0110375970000000768","Vekaria Construction Co. Limited","Whiting 4","Whiting",,"Accounts Payable",87750.00,"",243469.57,"Other Current Asset"
,"Build Assembly","23-01-2025","12532",,"Whiting 4","Whiting","X","Domestos Mix","",7166.95,236302.62,"Other Current Asset"
,"Build Assembly","23-01-2025","12533",,"Whiting 4","Whiting","X","Vim Mix Lavender","",105430.00,130872.62,"Other Current Asset"
,"Build Assembly","24-01-2025","12543",,"Whiting 4","Whiting","X","Vim Mix Lemon SA","",49332.09,81540.53,"Other Current Asset"
,"Bill","24-01-2025","0170942410000003391","Nevira Minerals Limited","Whiting 4","Whiting",,"Accounts Payable",77700.00,"",159240.53,"Other Current Asset"
"Total Whiting",,,,,,,,,1576800.00,1723461.67,159240.53,
"Raw Materials Inventory - Other",,,,,,,,,,,0.00,
"Total Raw Materials Inventory - Other",,,,,,,,,"","",0.00,
"Total Raw Materials Inventory",,,,,,,,,16867253.33,13665523.70,23210822.04,
"Refund",,,,,,,,,,,0.00,
"Total Refund",,,,,,,,,"","",0.00,
"Stock",,,,,,,,,,,0.00,
"Total Stock",,,,,,,,,"","",0.00,
"Work in Progress",,,,,,,,,,,237725.91,
"Zelia Machine Wash Mix",,,,,,,,,,,0.00,
"Total Zelia Machine Wash Mix",,,,,,,,,"","",0.00,
"Naivas Scourer Mix Lavender",,,,,,,,,,,0.00,
"Total Naivas Scourer Mix Lavender",,,,,,,,,"","",0.00,
"Naivas Scourer Mix Lemon",,,,,,,,,,,0.00,
"Total Naivas Scourer Mix Lemon",,,,,,,,,"","",0.00,
"Crimson Body Wash Mix",,,,,,,,,,,25690.93,
"Total Crimson Body Wash Mix",,,,,,,,,"","",25690.93,
"Fuel Gel Mix",,,,,,,,,,,397.49,
,"Build Assembly","07-01-2025","12427",,"Flem Fuel Gel Mix","Fuel Gel Mix","X","Fuel Gel 500ML","",357.73,39.76,"Other Current Asset"
"Total Fuel Gel Mix",,,,,,,,,0.00,357.73,39.76,
"Carneli Fresh Burst Bdy Wsh Mix",,,,,,,,,,,0.00,
"Total Carneli Fresh Burst Bdy Wsh Mix",,,,,,,,,"","",0.00,
"Carneli Sweet Vanilla Shower Ge",,,,,,,,,,,0.00,
"Total Carneli Sweet Vanilla Shower Ge",,,,,,,,,"","",0.00,
"Carneli Normal Shower Gel Mix",,,,,,,,,,,0.00,
"Total Carneli Normal Shower Gel Mix",,,,,,,,,"","",0.00,
"Zelia Multipurpos Liq Degreaser",,,,,,,,,,,0.00,
"Total Zelia Multipurpos Liq Degreaser",,,,,,,,,"","",0.00,
"Zelia Green Mpse Liq Lite Mix",,,,,,,,,,,0.00,
,"Build Assembly","07-01-2025","12400",,,"Zelia Green Mpse Liq Lite Mix","X","-SPLIT-",9972.30,"",9972.30,"Other Current Asset"
,"Build Assembly","07-01-2025","12402",,"Zelia Green Multipurpose Liquid Lite Mix","Zelia Green Mpse Liq Lite Mix","X","Zelia 20L Green Multps Liq Lite","",9972.30,0.00,"Other Current Asset"
"Total Zelia Green Mpse Liq Lite Mix",,,,,,,,,9972.30,9972.30,0.00,
"Zelia Apple Handwash Liquid Mix",,,,,,,,,,,577.64,
,"Build Assembly","02-01-2025","12358",,,"Zelia Apple Handwash Liquid Mix","X","-SPLIT-",14003.33,"",14580.97,"Other Current Asset"
,"Build Assembly","03-01-2025","12359",,"Zelia Apple Handwash Liquid Mix","Zelia Apple Handwash Liquid Mix","X","Zelia 500ML Apple Handwash Liq","",13653.25,927.72,"Other Current Asset"
,"Build Assembly","06-01-2025","12389",,"Zelia Apple Handwash Liquid Mix","Zelia Apple Handwash Liquid Mix","X","Zelia 500ML Apple Handwash Liq","",175.04,752.68,"Other Current Asset"
"Total Zelia Apple Handwash Liquid Mix",,,,,,,,,14003.33,13828.29,752.68,
"Vim Mix Lemon SA",,,,,,,,,,,-0.09,
,"Build Assembly","13-01-2025","12441",,,"Vim Mix Lemon SA","X","-SPLIT-",135944.69,"",135944.60,"Other Current Asset"
,"Build Assembly","13-01-2025","12444",,"Vim Mix Lemon SA","Vim Mix Lemon SA","X","Vim Powd Lemon Fresh SA 24X500G","",72177.52,63767.08,"Other Current Asset"
,"Build Assembly","15-01-2025","12459",,"Vim Mix Lemon SA","Vim Mix Lemon SA","X","Vim Powd Lemon Fresh SA 24X500G","",18398.19,45368.89,"Other Current Asset"
,"Build Assembly","24-01-2025","12543",,,"Vim Mix Lemon SA","X","-SPLIT-",137492.24,"",182861.13,"Other Current Asset"
,"Build Assembly","24-01-2025","12545",,"Vim Mix Lemon SA","Vim Mix Lemon SA","X","Vim Powd Lemon Fresh SA 24X500G","",151296.46,31564.67,"Other Current Asset"
"Total Vim Mix Lemon SA",,,,,,,,,273436.93,241872.17,31564.67,
"Vim Mix Lavender SA",,,,,,,,,,,250.15,
"Total Vim Mix Lavender SA",,,,,,,,,"","",250.15,
"Zelia Surface Cleaner Mix",,,,,,,,,,,28375.40,
"Total Zelia Surface Cleaner Mix",,,,,,,,,"","",28375.40,
"Zelia Bleach Mix",,,,,,,,,,,0.00,
,"Build Assembly","17-01-2025","12491",,,"Zelia Bleach Mix","X","-SPLIT-",5357.12,"",5357.12,"Other Current Asset"
,"Stock Adjust","17-01-2025","559",,"68848344 Stock Adjustment","Zelia Bleach Mix","X","Materials Usage Variance",178.57,"",5535.69,"Other Current Asset"
,"Build Assembly","17-01-2025","12492",,"Zelia Bleach Mix","Zelia Bleach Mix","X","Zelia Bleach 4X5L","",5535.69,0.00,"Other Current Asset"
,"Build Assembly","20-01-2025","12508",,,"Zelia Bleach Mix","X","-SPLIT-",3571.42,"",3571.42,"Other Current Asset"
"Total Zelia Bleach Mix",,,,,,,,,9107.11,5535.69,3571.42,
"Zelia Carpet Cleaner Mix",,,,,,,,,,,-0.01,
"Total Zelia Carpet Cleaner Mix",,,,,,,,,"","",-0.01,
"Zelia Toilet Cleaner Liquid Mix",,,,,,,,,,,0.00,
"Total Zelia Toilet Cleaner Liquid Mix",,,,,,,,,"","",0.00,
"Zelia Sanitizer Premium Mix",,,,,,,,,,,0.00,
"Total Zelia Sanitizer Premium Mix",,,,,,,,,"","",0.00,
"Vim Powder Canister 1Kg",,,,,,,,,,,0.00,
"Total Vim Powder Canister 1Kg",,,,,,,,,"","",0.00,
"Vim Powder Canister 500g",,,,,,,,,,,0.00,
"Total Vim Powder Canister 500g",,,,,,,,,"","",0.00,
"Zelia Dishwashing Paste Mix",,,,,,,,,,,0.00,
"Total Zelia Dishwashing Paste Mix",,,,,,,,,"","",0.00,
"Laundry Liquid Blue Mix",,,,,,,,,,,0.00,
"Total Laundry Liquid Blue Mix",,,,,,,,,"","",0.00,
"Zelia Yellow Multipupos Liq Mix",,,,,,,,,,,0.00,
"Total Zelia Yellow Multipupos Liq Mix",,,,,,,,,"","",0.00,
"Zelia Scouring Powder Mix",,,,,,,,,,,71.57,
"Total Zelia Scouring Powder Mix",,,,,,,,,"","",71.57,
"Zelia Green Multipurpos Liq Mix",,,,,,,,,,,0.00,
,"Build Assembly","07-01-2025","12399",,,"Zelia Green Multipurpos Liq Mix","X","-SPLIT-",12160.41,"",12160.41,"Other Current Asset"
,"Build Assembly","07-01-2025","12401",,"Zelia Green Multipurpose Liquid Mix","Zelia Green Multipurpos Liq Mix","X","Zelia 20L Green Multipurpos Liq","",12160.41,0.00,"Other Current Asset"
"Total Zelia Green Multipurpos Liq Mix",,,,,,,,,12160.41,12160.41,0.00,
"Zelia Liquid Hadnwash Mix",,,,,,,,,,,0.00,
,"Build Assembly","16-01-2025","12481",,,"Zelia Liquid Hadnwash Mix","X","-SPLIT-",13963.59,"",13963.59,"Other Current Asset"
,"Build Assembly","17-01-2025","12504",,"Zelia Strawberry Handwash Liquid Mix","Zelia Liquid Hadnwash Mix","X","Zelia Handwash Liquid 12x500ML","",13963.59,0.00,"Other Current Asset"
"Total Zelia Liquid Hadnwash Mix",,,,,,,,,13963.59,13963.59,0.00,
"Laundry Liquid Yellow Mix",,,,,,,,,,,0.00,
"Total Laundry Liquid Yellow Mix",,,,,,,,,"","",0.00,
"Domestos Mix",,,,,,,,,,,71194.36,
,"Build Assembly","09-01-2025","12416",,,"Domestos Mix","X","-SPLIT-",108101.13,"",179295.49,"Other Current Asset"
,"Build Assembly","10-01-2025","12426",,,"Domestos Mix","X","-SPLIT-",109912.04,"",289207.53,"Other Current Asset"
,"Build Assembly","13-01-2025","12442",,"Domestos Mix","Domestos Mix","X","Domestos Canister 12x900g","",130722.44,158485.09,"Other Current Asset"
,"Stock Adjust","13-01-2025","558",,"21033000 Stock Adjustment","Domestos Mix","X","Materials Usage Variance",6116.30,"",164601.39,"Other Current Asset"
,"Build Assembly","13-01-2025","12443",,"Domestos Mix","Domestos Mix","X","Domestos Canister 24x450g","",164597.35,4.04,"Other Current Asset"
,"Build Assembly","21-01-2025","12515",,,"Domestos Mix","X","-SPLIT-",73138.07,"",73142.11,"Other Current Asset"
,"Build Assembly","22-01-2025","12525",,,"Domestos Mix","X","-SPLIT-",73114.67,"",146256.78,"Other Current Asset"
,"Build Assembly","23-01-2025","12532",,,"Domestos Mix","X","-SPLIT-",73258.12,"",219514.90,"Other Current Asset"
"Total Domestos Mix",,,,,,,,,443640.33,295319.79,219514.90,
"Sunlight Mix Lavender",,,,,,,,,,,19759.16,
,"Build Assembly","07-01-2025","12391",,,"Sunlight Mix Lavender","X","-SPLIT-",27578.76,"",47337.92,"Other Current Asset"
,"Build Assembly","07-01-2025","12395",,"Sunlight Mix Lavender","Sunlight Mix Lavender","X","Sunlight Lavender 12X1KG","",44297.75,3040.17,"Other Current Asset"
,"Build Assembly","15-01-2025","12456",,,"Sunlight Mix Lavender","X","-SPLIT-",109224.42,"",112264.59,"Other Current Asset"
,"Build Assembly","15-01-2025","12461",,"Sunlight Mix Lavender","Sunlight Mix Lavender","X","Sunlight Lavender 24X500G","",53716.00,58548.59,"Other Current Asset"
,"Build Assembly","15-01-2025","12462",,"Sunlight Mix Lavender","Sunlight Mix Lavender","X","Sunlight Lavender 12X1KG","",54444.35,4104.24,"Other Current Asset"
"Total Sunlight Mix Lavender",,,,,,,,,136803.18,152458.10,4104.24,
"Sunlight Mix Lemon",,,,,,,,,,,0.02,
,"Build Assembly","07-01-2025","12392",,,"Sunlight Mix Lemon","X","-SPLIT-",56141.41,"",56141.43,"Other Current Asset"
,"Build Assembly","07-01-2025","12396",,"Sunlight Mix Lemon","Sunlight Mix Lemon","X","Sunlight Lemon 12X1KG","",55954.29,187.14,"Other Current Asset"
,"Build Assembly","15-01-2025","12457",,,"Sunlight Mix Lemon","X","-SPLIT-",55668.16,"",55855.30,"Other Current Asset"
,"Build Assembly","15-01-2025","12463",,"Sunlight Mix Lemon","Sunlight Mix Lemon","X","Sunlight Lemon 24X500G","",15401.96,40453.34,"Other Current Asset"
,"Build Assembly","16-01-2025","12472",,"Sunlight Mix Lemon","Sunlight Mix Lemon","X","Sunlight Lemon 24X500G","",40082.22,371.12,"Other Current Asset"
"Total Sunlight Mix Lemon",,,,,,,,,111809.57,111438.47,371.12,
"Vim Mix Lavender",,,,,,,,,,,37066.25,
,"Build Assembly","04-01-2025","12368",,,"Vim Mix Lavender","X","-SPLIT-",26783.24,"",63849.49,"Other Current Asset"
,"Build Assembly","04-01-2025","12374",,"Vim Mix Lavender","Vim Mix Lavender","X","1 kg VIM lavender","",28826.15,35023.34,"Other Current Asset"
,"Build Assembly","06-01-2025","12381",,,"Vim Mix Lavender","X","-SPLIT-",344986.19,"",380009.53,"Other Current Asset"
,"Build Assembly","06-01-2025","12382",,"Vim Mix Lavender","Vim Mix Lavender","X","1 kg VIM lavender","",267385.77,112623.76,"Other Current Asset"
,"Build Assembly","06-01-2025","12383",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",51065.72,61558.04,"Other Current Asset"
,"Build Assembly","07-01-2025","12390",,,"Vim Mix Lavender","X","-SPLIT-",160102.94,"",221660.98,"Other Current Asset"
,"Build Assembly","07-01-2025","12394",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",191232.95,30428.03,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Vim Mix Lavender","Vim Mix Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",26683.67,3744.36,"Other Current Asset"
,"Build Assembly","13-01-2025","12440",,,"Vim Mix Lavender","X","-SPLIT-",52639.47,"",56383.83,"Other Current Asset"
,"Build Assembly","15-01-2025","12455",,,"Vim Mix Lavender","X","-SPLIT-",52964.68,"",109348.51,"Other Current Asset"
,"Build Assembly","15-01-2025","12460",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",81795.70,27552.81,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Vim Mix Lavender","Vim Mix Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",18509.80,9043.01,"Other Current Asset"
,"Build Assembly","17-01-2025","12488",,,"Vim Mix Lavender","X","-SPLIT-",183904.09,"",192947.10,"Other Current Asset"
,"Build Assembly","17-01-2025","12483",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",134713.96,58233.14,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Vim Mix Lavender","Vim Mix Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",24557.23,33675.91,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Vim Mix Lavender","Vim Mix Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",6139.31,27536.60,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Vim Mix Lavender","Vim Mix Lavender","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",3683.58,23853.02,"Other Current Asset"
,"Build Assembly","22-01-2025","12524",,,"Vim Mix Lavender","X","-SPLIT-",79291.86,"",103144.88,"Other Current Asset"
,"Build Assembly","22-01-2025","12527",,"Vim Mix Lavender","Vim Mix Lavender","X","1 kg VIM lavender","",66247.03,36897.85,"Other Current Asset"
,"Build Assembly","23-01-2025","12533",,,"Vim Mix Lavender","X","-SPLIT-",292847.18,"",329745.03,"Other Current Asset"
,"Build Assembly","23-01-2025","12534",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",84506.36,245238.67,"Other Current Asset"
,"Build Assembly","23-01-2025","12535",,"Vim Mix Lavender","Vim Mix Lavender","X","1 kg VIM lavender","",194222.59,51016.08,"Other Current Asset"
,"Stock Adjust","24-01-2025","560",,"67000001 Stock Adjustment","Vim Mix Lavender","X","Materials Usage Variance",1356.58,"",52372.66,"Other Current Asset"
,"Build Assembly","24-01-2025","12544",,"Vim Mix Lavender","Vim Mix Lavender","X","500g VIM lavender","",52372.64,0.02,"Other Current Asset"
"Total Vim Mix Lavender",,,,,,,,,1194876.23,1231942.46,0.02,
"Vim Mix Lemon",,,,,,,,,,,54343.04,
,"Build Assembly","02-01-2025","12351",,,"Vim Mix Lemon","X","-SPLIT-",330133.41,"",384476.45,"Other Current Asset"
,"Build Assembly","02-01-2025","12352",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",187049.97,197426.48,"Other Current Asset"
,"Build Assembly","03-01-2025","12360",,,"Vim Mix Lemon","X","-SPLIT-",210940.68,"",408367.16,"Other Current Asset"
,"Build Assembly","03-01-2025","12361",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",163042.66,245324.50,"Other Current Asset"
,"Build Assembly","03-01-2025","12364",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",217590.76,27733.74,"Other Current Asset"
,"Build Assembly","04-01-2025","12367",,,"Vim Mix Lemon","X","-SPLIT-",296522.01,"",324255.75,"Other Current Asset"
,"Build Assembly","04-01-2025","12372",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",264558.46,59697.29,"Other Current Asset"
,"Build Assembly","04-01-2025","12373",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",28515.28,31182.01,"Other Current Asset"
,"Build Assembly","06-01-2025","12384",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",24554.83,6627.18,"Other Current Asset"
,"Build Assembly","07-01-2025","12393",,,"Vim Mix Lemon","X","-SPLIT-",118211.09,"",124838.27,"Other Current Asset"
,"Build Assembly","07-01-2025","12397",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",27604.40,97233.87,"Other Current Asset"
,"Build Assembly","07-01-2025","12398",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",32336.58,64897.29,"Other Current Asset"
,"Build Assembly","08-01-2025","12407",,,"Vim Mix Lemon","X","-SPLIT-",467375.42,"",532272.71,"Other Current Asset"
,"Build Assembly","08-01-2025","12408",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",248983.07,283289.64,"Other Current Asset"
,"Build Assembly","08-01-2025","12409",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",96978.52,186311.12,"Other Current Asset"
,"Build Assembly","08-01-2025","12410",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",53660.15,132650.97,"Other Current Asset"
,"Build Assembly","09-01-2025","12415",,,"Vim Mix Lemon","X","-SPLIT-",292109.64,"",424760.61,"Other Current Asset"
,"Build Assembly","09-01-2025","12417",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",311895.17,112865.44,"Other Current Asset"
,"Build Assembly","09-01-2025","12418",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",25731.35,87134.09,"Other Current Asset"
,"Build Assembly","10-01-2025","12424",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",29240.17,57893.92,"Other Current Asset"
,"Build Assembly","10-01-2025","12425",,,"Vim Mix Lemon","X","-SPLIT-",312742.73,"",370636.65,"Other Current Asset"
,"Build Assembly","10-01-2025","12423",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",251397.27,119239.38,"Other Current Asset"
,"Build Assembly","13-01-2025","12445",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",30472.40,88766.98,"Other Current Asset"
,"Build Assembly","15-01-2025","12458",,,"Vim Mix Lemon","X","-SPLIT-",28269.26,"",117036.24,"Other Current Asset"
,"Build Assembly","15-01-2025","12464",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",27359.04,89677.20,"Other Current Asset"
,"Build Assembly","16-01-2025","12471",,,"Vim Mix Lemon","X","-SPLIT-",254423.40,"",344100.60,"Other Current Asset"
,"Build Assembly","16-01-2025","12474",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",264509.78,79590.82,"Other Current Asset"
,"Build Assembly","16-01-2025","12475",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",11525.07,68065.75,"Other Current Asset"
,"Build Assembly","16-01-2025","12476",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",19838.23,48227.52,"Other Current Asset"
,"Build Assembly","17-01-2025","12487",,,"Vim Mix Lemon","X","-SPLIT-",56117.87,"",104345.39,"Other Current Asset"
,"Build Assembly","17-01-2025","12482",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",62408.64,41936.75,"Other Current Asset"
,"Build Assembly","17-01-2025","12484",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",26316.90,15619.85,"Other Current Asset"
,"Build Assembly","18-01-2025","12495",,,"Vim Mix Lemon","X","-SPLIT-",140294.70,"",155914.55,"Other Current Asset"
,"Build Assembly","20-01-2025","12505",,,"Vim Mix Lemon","X","-SPLIT-",250957.01,"",406871.56,"Other Current Asset"
,"Build Assembly","20-01-2025","12506",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",17901.35,388970.21,"Other Current Asset"
,"Build Assembly","20-01-2025","12507",,"Vim Mix Lemon","Vim Mix Lemon","X","1 Kg VIM lemon","",261061.42,127908.79,"Other Current Asset"
,"Build Assembly","20-01-2025","12509",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",6526.54,121382.25,"Other Current Asset"
,"Build Assembly","21-01-2025","12514",,,"Vim Mix Lemon","X","-SPLIT-",310737.33,"",432119.58,"Other Current Asset"
,"Build Assembly","21-01-2025","12516",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Scourer Lmn 12X1Kg+Vim Lvr","",3945.39,428174.19,"Other Current Asset"
,"Build Assembly","21-01-2025","12517",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",308115.79,120058.40,"Other Current Asset"
,"Build Assembly","21-01-2025","12518",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",29684.33,90374.07,"Other Current Asset"
,"Build Assembly","22-01-2025","12523",,,"Vim Mix Lemon","X","-SPLIT-",197522.85,"",287896.92,"Other Current Asset"
,"Build Assembly","22-01-2025","12526",,"Vim Mix Lemon","Vim Mix Lemon","X","500g VIM lemon","",219714.96,68181.96,"Other Current Asset"
,"Build Assembly","23-01-2025","12536",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",32919.62,35262.34,"Other Current Asset"
,"Build Assembly","24-01-2025","12546",,"Vim Mix Lemon","Vim Mix Lemon","X","Vim Lemon Fresh Pouch 24x500g","",13920.30,21342.04,"Other Current Asset"
"Total Vim Mix Lemon",,,,,,,,,3266357.40,3299358.40,21342.04,
"Work in Progress - Other",,,,,,,,,,,0.00,
"Total Work in Progress - Other",,,,,,,,,"","",0.00,
"Total Work in Progress",,,,,,,,,5486130.38,5388207.40,335648.89,
"Total Other Current Assets",,,,,,,,,34081474.61,27963700.08,29652099.05,
"Accounts Receivable",,,,,,,,,,,67050503.75,
"Accounts Receivable",,,,,,,,,,,66372809.52,
